c1_2_1

VEHICLE
NUMBER     CAPACITY
  50          200

CUSTOMER
CUST NO.	XCOORD.	YCOORD.	DEMAND	READY TIME	DUE DATE	SERVICE TIME	PICKUP	EARLY_PENALTY	LATE_PENALTY

0	70	70	0	0	1351	0	0	7	6
1	33	78	20	750	809	90	1	8	7
2	59	52	20	553	602	90	0	4	5
3	10	137	30	147	219	90	1	8	9
4	4	28	10	616	661	90	0	5	9
5	25	26	20	128	179	90	1	6	8
6	86	37	10	478	531	90	1	5	2
7	1	109	10	616	680	90	0	7	7
8	6	135	40	351	386	90	1	9	6
9	32	79	20	655	721	90	1	5	7
10	24	26	20	219	271	90	1	9	4
11	86	36	20	384	443	90	0	2	4
12	95	35	10	196	252	90	1	1	1
13	63	50	10	364	416	90	0	3	5
14	100	106	10	567	626	90	0	2	5
15	99	112	20	846	911	90	0	5	8
16	36	135	10	598	669	90	0	3	9
17	57	59	10	824	890	90	1	1	5
18	8	124	10	231	298	90	0	9	2
19	85	106	20	186	253	90	0	3	8
20	103	69	30	33	93	90	1	8	8
21	109	131	20	72	141	90	0	4	8
22	43	140	10	410	470	90	1	9	2
23	115	134	30	140	199	90	1	1	4
24	98	70	10	467	511	90	1	9	1
25	112	67	10	462	534	90	1	8	6
26	102	104	20	201	258	90	1	8	7
27	93	75	30	178	238	90	0	8	9
28	90	104	20	845	910	90	0	1	7
29	127	108	10	677	743	90	0	8	9
30	84	99	20	32	102	90	1	8	9
31	113	69	20	370	440	90	1	7	4
32	129	9	10	84	147	90	0	3	6
33	18	38	30	582	638	90	0	3	1
34	30	27	10	772	835	90	1	4	4
35	25	80	20	380	440	90	0	3	2
36	17	37	30	493	544	90	1	1	6
37	32	106	10	602	657	90	0	9	4
38	43	135	10	215	293	90	0	6	7
39	61	59	20	448	517	90	0	8	7
40	104	106	20	390	434	90	1	4	3
41	109	71	20	95	163	90	0	7	8
42	121	110	30	870	923	90	1	7	9
43	61	48	20	448	517	90	0	6	6
44	74	99	20	176	243	90	0	4	4
45	89	73	10	19	94	90	1	9	3
46	21	25	20	405	453	90	1	4	9
47	99	28	30	392	442	90	0	9	3
48	101	96	10	101	160	90	1	3	5
49	9	114	20	904	954	90	1	4	3
50	121	112	20	221	277	90	0	4	9
51	137	6	10	611	678	90	0	4	4
52	118	131	20	782	857	90	0	9	4
53	34	82	10	928	1000	90	1	2	9
54	4	125	30	319	398	90	1	5	2
55	26	105	40	115	179	90	0	7	2
56	35	123	20	1130	1198	90	0	8	4
57	21	48	10	53	123	90	1	5	3
58	21	115	10	306	376	90	1	4	6
59	99	108	20	952	992	90	1	5	7
60	1	34	20	77	132	90	1	7	8
61	94	70	20	556	610	90	0	6	3
62	74	93	20	23	66	90	1	7	8
63	32	128	20	1079	1123	90	0	6	8
64	94	73	10	741	791	90	0	7	7
65	135	3	20	250	300	90	0	2	7
66	97	28	20	110	170	90	0	8	2
67	59	56	20	745	780	90	1	9	9
68	80	97	10	457	518	90	0	6	5
69	134	31	20	508	566	90	1	5	1
70	103	34	30	577	636	90	1	5	9
71	30	79	20	561	632	90	0	2	7
72	4	30	40	693	768	90	0	8	4
73	87	39	10	35	92	90	0	5	2
74	90	101	30	933	1008	90	0	7	3
75	119	136	30	334	384	90	1	7	2
76	78	92	30	555	610	90	0	5	6
77	110	66	10	650	710	90	0	2	6
78	62	58	10	173	229	90	1	4	5
79	127	112	20	595	636	90	0	9	5
80	113	71	10	286	341	90	1	2	5
81	34	104	10	683	760	90	0	7	1
82	2	28	10	148	199	90	1	4	1
83	17	43	10	205	279	90	1	9	5
84	1	24	10	333	385	90	0	5	9
85	112	71	20	193	252	90	0	3	5
86	135	0	10	331	405	90	0	5	2
87	125	108	20	778	825	90	0	6	6
88	8	138	30	234	316	90	0	6	7
89	103	111	20	668	719	90	0	2	4
90	57	53	10	641	697	90	0	6	8
91	98	31	20	480	541	90	1	8	4
92	116	132	10	870	953	90	0	6	9
93	28	99	10	51	93	90	1	5	6
94	137	3	10	522	581	90	0	6	2
95	29	28	10	865	925	90	0	1	6
96	94	105	10	656	728	90	1	7	7
97	92	107	20	465	532	90	1	6	1
98	10	134	20	629	677	90	1	6	3
99	34	79	10	841	902	90	1	5	3
100	94	72	20	647	703	90	1	2	2
