c1_2_1

VEHICLE
NUMBER     CAPACITY
  50          200

CUSTOMER
CUST NO.	XCOORD.	YCOORD.	PICKUP	DEMAND	READY TIME	DUE DATE	EARLY_PENALTY	LATE_PENALTY	SERVICE TIME
0	70	70	0	0	0	1351	7	6	0
1	33	78	1	20	750	809	8	5	90
2	59	52	1	20	553	602	2	8	90
3	10	137	1	30	147	219	9	8	90
4	4	28	1	10	616	661	3	6	90
5	25	26	1	20	128	179	9	2	90
6	86	37	0	10	478	531	4	3	90
7	1	109	1	10	616	680	4	4	90
8	6	135	0	40	351	386	4	9	90
9	32	79	0	20	655	721	3	5	90
10	24	26	0	20	219	271	5	5	90
11	86	36	0	20	384	443	2	4	90
12	95	35	0	10	196	252	3	6	90
13	63	50	1	10	364	416	9	9	90
14	100	106	0	10	567	626	1	5	90
15	99	112	1	20	846	911	3	8	90
16	36	135	1	10	598	669	1	1	90
17	57	59	1	10	824	890	8	5	90
18	8	124	1	10	231	298	5	2	90
19	85	106	0	20	186	253	9	2	90
20	103	69	0	30	33	93	3	7	90
21	109	131	0	20	72	141	2	3	90
22	43	140	1	10	410	470	5	2	90
23	115	134	1	30	140	199	1	8	90
24	98	70	1	10	467	511	2	9	90
25	112	67	1	10	462	534	2	4	90
26	102	104	1	20	201	258	9	8	90
27	93	75	1	30	178	238	1	9	90
28	90	104	1	20	845	910	7	3	90
29	127	108	0	10	677	743	5	4	90
30	84	99	1	20	32	102	3	5	90
31	113	69	1	20	370	440	1	2	90
32	129	9	1	10	84	147	9	4	90
33	18	38	1	30	582	638	8	5	90
34	30	27	0	10	772	835	7	1	90
35	25	80	1	20	380	440	3	9	90
36	17	37	0	30	493	544	4	5	90
37	32	106	0	10	602	657	9	6	90
38	43	135	0	10	215	293	6	4	90
39	61	59	1	20	448	517	7	3	90
40	104	106	1	20	390	434	4	6	90
41	109	71	0	20	95	163	5	2	90
42	121	110	0	30	870	923	1	3	90
43	61	48	0	20	448	517	1	8	90
44	74	99	0	20	176	243	6	7	90
45	89	73	0	10	19	94	3	5	90
46	21	25	0	20	405	453	4	4	90
47	99	28	1	30	392	442	5	4	90
48	101	96	0	10	101	160	1	8	90
49	9	114	1	20	904	954	9	6	90
50	121	112	1	20	221	277	5	6	90
51	137	6	1	10	611	678	4	3	90
52	118	131	0	20	782	857	1	1	90
53	34	82	0	10	928	1000	3	3	90
54	4	125	0	30	319	398	8	6	90
55	26	105	1	40	115	179	2	9	90
56	35	123	1	20	1130	1198	6	1	90
57	21	48	1	10	53	123	6	3	90
58	21	115	0	10	306	376	1	8	90
59	99	108	1	20	952	992	5	7	90
60	1	34	1	20	77	132	4	6	90
61	94	70	0	20	556	610	8	9	90
62	74	93	0	20	23	66	4	6	90
63	32	128	1	20	1079	1123	5	5	90
64	94	73	0	10	741	791	7	6	90
65	135	3	1	20	250	300	8	4	90
66	97	28	1	20	110	170	8	9	90
67	59	56	0	20	745	780	7	5	90
68	80	97	0	10	457	518	8	5	90
69	134	31	0	20	508	566	3	8	90
70	103	34	1	30	577	636	6	1	90
71	30	79	0	20	561	632	4	4	90
72	4	30	1	40	693	768	2	4	90
73	87	39	0	10	35	92	8	4	90
74	90	101	1	30	933	1008	9	6	90
75	119	136	0	30	334	384	1	2	90
76	78	92	1	30	555	610	2	9	90
77	110	66	1	10	650	710	9	8	90
78	62	58	1	10	173	229	9	5	90
79	127	112	1	20	595	636	2	9	90
80	113	71	1	10	286	341	8	9	90
81	34	104	0	10	683	760	3	3	90
82	2	28	0	10	148	199	2	8	90
83	17	43	0	10	205	279	4	2	90
84	1	24	0	10	333	385	3	9	90
85	112	71	0	20	193	252	7	4	90
86	135	0	1	10	331	405	7	9	90
87	125	108	1	20	778	825	1	2	90
88	8	138	1	30	234	316	4	5	90
89	103	111	1	20	668	719	4	7	90
90	57	53	1	10	641	697	7	7	90
91	98	31	0	20	480	541	6	6	90
92	116	132	0	10	870	953	1	5	90
93	28	99	1	10	51	93	9	1	90
94	137	3	0	10	522	581	6	4	90
95	29	28	0	10	865	925	5	2	90
96	94	105	1	10	656	728	2	8	90
97	92	107	1	20	465	532	2	5	90
98	10	134	0	20	629	677	3	2	90
99	34	79	1	10	841	902	1	3	90
100	94	72	1	20	647	703	4	7	90
