c1_2_1

VEHICLE
NUMBER     CAPACITY
  50          200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME
 
    0      70         70          0          0       1351          0
    1      33         78         20        750        809         90
    2      59         52         20        553        602         90
    3      10        137         30        147        219         90
    4       4         28         10        616        661         90
    5      25         26         20        128        179         90
    6      86         37         10        478        531         90
    7       1        109         10        616        680         90
    8       6        135         40        351        386         90
    9      32         79         20        655        721         90
   10      24         26         20        219        271         90
   11      86         36         20        384        443         90
   12      95         35         10        196        252         90
   13      63         50         10        364        416         90
   14     100        106         10        567        626         90
   15      99        112         20        846        911         90
   16      36        135         10        598        669         90
   17      57         59         10        824        890         90
   18       8        124         10        231        298         90
   19      85        106         20        186        253         90
   20     103         69         30         33         93         90
   21     109        131         20         72        141         90
   22      43        140         10        410        470         90
   23     115        134         30        140        199         90
   24      98         70         10        467        511         90
   25     112         67         10        462        534         90
   26     102        104         20        201        258         90
   27      93         75         30        178        238         90
   28      90        104         20        845        910         90
   29     127        108         10        677        743         90
   30      84         99         20         32        102         90
   31     113         69         20        370        440         90
   32     129          9         10         84        147         90
   33      18         38         30        582        638         90
   34      30         27         10        772        835         90
   35      25         80         20        380        440         90
   36      17         37         30        493        544         90
   37      32        106         10        602        657         90
   38      43        135         10        215        293         90
   39      61         59         20        931        971         90
   40     104        106         20        390        434         90
   41     109         71         20         95        163         90
   42     121        110         30        870        923         90
   43      61         48         20        448        517         90
   44      74         99         20        176        243         90
   45      89         73         10         19         94         90
   46      21         25         20        405        453         90
   47      99         28         30        392        442         90
   48     101         96         10        101        160         90
   49       9        114         20        904        954         90
   50     121        112         20        221        277         90
